laughable	-2
favor	1
friendliness	2
intransigence	-2
weariness	-2
stingingly	-2
compulsive	-2
impending	-2
obscure	-2
pathetic	-2
cooperation	1
erroneously	-2
allure	2
oddest	-2
irresolvable	-1
usable	1
fell	-2
loathsomely	-2
misinterpret	-2
extol	2
desecrate	-2
distress	-2
sanctify	2
alliance	0
maybe	0
fictitious	-2
enchanting	2
adherence	1
treachery	-2
chant	0
thusly	0
favorable	2
despotism	-2
multi-polarization	-2
heartless	-2
regard	0
humor	2
asset	1
shameful	-2
frustrated	-2
amusement	2
flout	-2
abidance	2
disastrously	-2
narrow	-1
readiness	0
incomparably	-1
scars	-2
desultory	-2
chasten	-2
reiterated	0
rejoicing	2
maddeningly	-2
ill-conceived	-2
sweeping	2
preferably	2
egotistically	-2
flat-out	-2
decayed	-2
ghastly	-2
savagely	-2
transparent	0
rant	-2
traduce	-2
lackluster	-2
choke	-1
excuses	-1
attest	2
asunder	-2
batons	0
tempest	-1
talent	2
rapport	2
justice	1
hysteric	-2
withheld	-1
exemplary	2
agonizing	-2
guardian	1
begging	-2
pleas	-2
far-reaching	0
faithful	2
unlikely	-1
irregardless	0
covetingly	0
know	0
smack	-2
inexorable	-2
humane	2
inane	-2
inexperience	-1
rile	-2
gallingly	-2
tyrannical	-2
downfall	-2
imagine	0
abidance	2
ennoble	2
insolently	-2
raging	-2
beggar	-1
gladness	2
kindness	2
concern	-2
afraid	-2
shock	-2
revival	1
scant	-1
harried	-2
overstatement	-2
relevance	1
fragile	-1
assertions	2
recklessness	-2
comment	0
conviction	1
abnormal	-1
punish	-2
vileness	-2
shine	1
garbage	-1
nationalism	-2
blab	-2
radical	-2
warped	-1
evenly	1
innuendo	-2
appreciable	1
prejudice	-2
nuisance	-2
mighty	2
empathy	-2
soften	2
esoteric	-1
crumple	-1
unavoidable	-1
large	1
wealthy	1
mischievous	-2
lean	1
freedom	1
unscrupulously	-2
deceit	-2
compact	1
carp	-2
mishandle	-2
compel	-2
illusory	-2
kooky	-2
divine	2
needless	-1
love	2
murderously	-1
indicative	0
morbid	-2
hail	2
neutralize	1
legitimately	1
basically	0
outstandingly	2
growl	-2
cuplrit	-2
harmonize	2
specifically	0
amusement	2
pro-Cuba	2
anyway	0
fervor	2
unity	1
innocence	1
beloved	2
lower-priced	1
pleasurable	2
loyalty	2
giddy	2
compatible	1
sicken	-1
accentuate	0
renovation	1
humanists	1
impaired	-2
magical	2
delightful	2
onerously	-2
harmful	-2
handsome	2
moon	-1
reputable	1
caustically	-2
miscreants	-2
humiliate	-2
revolt	-1
backbite	-2
impending	-2
cut	-1
ambitious	1
doubtful	-2
meddle	-2
insensitivity	-2
germane	1
viper	-1
disastrous	-2
gratify	2
intimidation	-1
averse	-2
shrill	-2
suffering	-2
reactions	0
salable	1
respectful	2
slump	-1
solidarity	2
electrify	1
undetermined	-1
divided	-1
intimate	0
concerns	-2
appease	1
miracle	2
mislike	-2
plunderer	-2
jeer	-2
notion	0
malevolent	-2
fortress	0
passive	-2
unfit	-2
fuss	-2
fortune	2
temperate	1
unanimous	2
productive	1
scoldingly	-2
undone	-1
sworn	2
urge	2
sensationalize	-2
tiny	-1
honeymoon	1
drab	-2
keen	-2
disgustfully	-2
agreeably	2
perfidity	-2
unipolar	-2
frenetic	-2
figurehead	-1
compulsion	-2
misery	-2
discontinuity	-2
sacred	2
firmly	0
ebullient	2
suffice	1
unreasonable	-1
fatuity	-2
repression	-1
sinister	-2
tendency	0
injurious	-1
importunate	-2
beautiful	2
stink	-2
appreciatively	2
incompliant	-1
irrefutably	2
rumors	-2
idiots	-2
inglorious	-2
controversial	-1
goodly	1
disrespectfulness	-2
disregard	-2
miss	-1
literate	1
secretive	-1
brashness	-2
idiot	-2
almighty	2
dissatisfy	-2
fundamentalism	-1
vigilance	1
defeat	-1
delighted	2
further	0
unpleasantries	-2
amicably	2
alleviate	1
drunken	-2
balk	-2
slanderously	-2
coveting	0
derogatory	-2
unwillingly	-2
rewarding	2
mendacity	-2
thumbs	-1
gape	-2
titillatingly	2
victorious	1
lonesome	-2
toleration	1
unreasonable	-2
foremost	2
modest	1
embattled	-1
safe	1
insistence	1
complete	0
idea	0
funny	2
strong	1
sound	1
ridicule	-2
toll	-1
expensive	-1
expropriation	-1
knowingly	0
decline	-1
self-defeating	-1
sneer	-2
brazen	-2
stifle	-2
insolvent	-1
irrationally	-2
imperialist	-2
such	0
successfully	1
relentlessly	-2
beautify	2
troublingly	-2
election-rigger	-2
abhorrent	-2
adaptability	1
hate	-2
second-class	-2
unwarranted	-2
fairness	1
affectation	-1
sumptuous	2
effortless	2
heartening	2
crafty	-2
revoltingly	-2
forgiving	2
godlike	2
unleash	-2
defunct	-2
tricky	-2
uncompetitive	-1
snare	-1
derisiveness	-2
villains	-2
unable	-1
lethargy	-1
stupefy	0
criticism	-2
monumental	2
inferior	-2
lifeless	-1
lier	-2
proportionately	0
insightful	2
glowing	2
ecstasies	2
stupid	-2
dignify	1
racist	-2
bastard	-2
quash	-2
nervously	-2
masters	2
marvel	2
indignantly	-2
disgrace	-2
sense	1
annoy	-2
erratic	-2
finely	2
salacious	-2
reminiscent	2
mad	-2
regression	-1
fascist	-2
fashionably	2
aggravating	-2
rude	-2
solicitously	2
fanaticism	-2
scholarly	0
awestruck	2
absurdity	-2
stupidly	-2
indomitable	2
doomsday	-2
thrash	-1
gripe	-2
tranquil	2
horrifically	-2
deficiency	-1
unfounded	-2
suggestions	1
savage	-2
exaggeration	-2
exhaustively	1
understated	2
withhold	-1
well-connected	2
audacious	-2
blasphemous	-2
distinctive	1
unfunded	-1
protracted	-1
provocative	-2
deep	-1
concessions	-1
trivial	-2
troubling	-2
stubbornness	-2
defend	1
timidness	-2
errant	-1
skepticism	-2
tricky	-2
molest	-2
steal	-1
enough	0
cute	2
covetous	-2
swipe	-2
indiscreetly	-2
intriguing	2
indiscreet	-2
quandary	-2
disadvantageous	-2
resignation	-1
satisfaction	2
attractive	2
abuse	-2
invincible	2
truant	-1
audaciously	-2
polluters	-2
advice	1
maneuver	-1
insolence	-2
repel	-1
dissonant	-2
invasive	-1
decreasing	-1
metaphorize	0
bizarre	-2
polished	1
feverish	-1
dunce	-2
vindictive	-2
shadow	-2
upliftingly	2
dragoon	-2
dejection	-2
heretical	-2
fidelity	2
informative	1
hatefully	-2
enable	1
oversight	-1
magnificence	2
imperative	0
strangest	-2
astoundingly	2
parasite	-1
yearningly	2
sham	-2
entrancing	2
promoter	2
questionable	-2
understanding	1
oddly	-2
mar	-2
breathtaking	2
harmless	2
homage	2
irrational	-2
hysteria	-2
lust	0
smear	-1
splitting	-1
advocate	2
favorable	2
skillful	2
dumbfound	-2
spade	-2
immorality	-2
spite	-2
brute	-2
stringently	-1
hothouse	-1
absolute	0
mortifying	-2
battle	-1
very	0
luckiness	2
despicable	-2
seasoned	1
affinity	1
unreasonably	-2
bravery	2
personality	2
flak	-2
reprove	-2
misreading	-2
turbulent	-1
hedonistic	-2
agreeability	2
misjudge	-2
murder	-1
moody	-2
assess	0
clear	1
endorsement	2
inexpensive	1
abandonment	-1
luminous	1
glowingly	2
pessimistic	-2
horrible	-2
favored	1
penalty	-1
improving	1
disclaim	-2
battlefield	-1
infatuated	0
suspicious	-2
incoherently	-2
zealous	-2
spilling	-2
conquer	1
elegant	2
villify	-2
affliction	-1
villian	-2
adequate	1
enslave	-2
remorseful	-2
sage	2
wrestle	-1
stable	1
groundless	-2
gawky	-2
depression	-1
considerably	0
inessential	-2
yawn	-2
relax	1
admit	2
disappointingly	-2
self-destructive	-2
portable	1
disorder	-1
catastrophe	-2
heartbreaking	-2
heckle	-2
emphatic	-2
shiver	-2
racist	-2
tragedy	-1
settle	1
overacted	-2
inconsistence	-2
poverty	-2
importune	-2
anti-occupation	-2
insulting	-2
worriedly	-2
upsettingly	-2
encroach	-1
harridan	-2
despised	-2
improperly	-2
discordant	-2
informational	0
spellbind	2
calamitously	-2
laugh	-2
nourish	1
threats	-1
unlawfully	-1
dissidents	-2
unfair	-2
imprudent	-2
consideration	0
cheap	-2
incomparable	-1
avaricious	-2
rifts	-2
advisable	1
staunchly	2
honesty	2
obvious	0
doomsday	-2
exuberantly	2
travesties	-2
ignite	0
upset	-1
improbably	-2
assassin	-2
bloom	1
pains	-2
uncollectible	-1
fast	0
indolent	-2
fleer	-2
power	0
prefer	2
flawlessly	2
keen	2
jeeringly	-2
menacingly	-2
renown	2
blame	-2
feeling	0
wry	2
steadfast	2
mistaken	-2
blindness	-1
facts	0
misunderstood	-2
braggart	-2
despised	-2
endless	-1
dote	2
central	0
ingrate	-2
admonisher	-2
screech	-2
rusty	-2
drought	-1
sustainability	1
devious	-2
whiff	0
thorough	1
prospect	1
irretrievable	-1
protective	1
traumatize	-2
erase	-1
security	1
